,Name,Rating,Total reviews,Sevice & Location,Salary,Jobs,Benefits
128,BNY,3.6,(5.1k),Financial Services | Pune +25 other locations,30.8k,2,528
129,JustDial,3.5,(5.1k),Internet | Noida +229 other locations,15.5k,53,372
130,IQVIA,3.7,(5.1k),Clinical Research | Bangalore / Bengaluru +65 other locations,30.7k,25,524
131,NTT Data,3.8,(5k),IT Services & Consulting | Bangalore / Bengaluru +80 other locations,36k,185,156
132,Nagarjuna Construction Company,4.0,(5k),Engineering & Construction | Hyderabad / Secunderabad +296 other locations,12.1k,13,408
133,SBI Life Insurance Company,3.7,(5k),Insurance | Mumbai +656 other locations,11.8k,8,327
134,TVS Motor,3.9,(5k),Automobile | Hosur +349 other locations,15.7k,70,536
135,CBRE,4.1,(5k),Real Estate | Hyderabad / Secunderabad +91 other locations,18.7k,24,443
136,Schneider Electric,4.2,(5k),Industrial Automation | Bangalore / Bengaluru +119 other locations,24.4k,23,436
137,Persistent Systems,3.6,(4.9k),IT Services & Consulting | Pune +41 other locations,44.8k,259,369
138,State Bank of India,3.8,(4.9k),Banking | Mumbai +618 other locations,11.5k,15,400
139,Atos,3.8,(4.9k),IT Services & Consulting | Pune +49 other locations,34.2k,91,456
140,vivo,4.1,(4.9k),Consumer Electronics & Appliances | Noida +413 other locations,13k,11,643
141,Ecom Express,4.0,(4.8k),Logistics | Gurgaon / Gurugram +775 other locations,9.6k,--,323
142,KEC International,4.0,(4.8k),Engineering & Construction | Mumbai +314 other locations,13.2k,9,441
143,Eviden,3.6,(4.8k),IT Services & Consulting | Pune +39 other locations,27.8k,8,1
144,Amdocs,3.6,(4.8k),Software Product | Pune +23 other locations,37.2k,11,614
145,JBM Group,3.9,(4.7k),Auto Components | Gurgaon / Gurugram +117 other locations,14k,41,342
146,Varun Beverages,4.0,(4.7k),Beverage | New Delhi +379 other locations,11.9k,30,321
147,Nagarro,3.9,(4.7k),IT Services & Consulting | Gurgaon / Gurugram +49 other locations,32.3k,923,1.1k
148,ITC Infotech,3.7,(4.7k),IT Services & Consulting | Bangalore / Bengaluru +68 other locations,29.6k,76,281
149,Bosch,4.1,(4.6k),Auto Components | Bangalore / Bengaluru +131 other locations,20.8k,--,599
150,Home Credit Finance,4.0,(4.6k),NBFC | Gurgaon / Gurugram +136 other locations,9.4k,90,629
151,Randstad,3.7,(4.6k),Recruitment | Hyderabad / Secunderabad +352 other locations,16.5k,9,342
152,EY Global Delivery Services ( EY GDS),3.5,(4.5k),IT Services & Consulting | Bangalore / Bengaluru +56 other locations,49k,10,146
153,Utkarsh Small Finance Bank,3.6,(4.5k),Banking | Varanasi +409 other locations,10.9k,23,270
154,Hewlett Packard Enterprise,4.1,(4.5k),IT Services & Consulting | Bangalore / Bengaluru +104 other locations,27.1k,237,546
155,Mahindra Logistics,3.7,(4.5k),Logistics | Mumbai +233 other locations,13k,--,445
156,Aditya Birla Fashion and Retail,4.1,(4.5k),Fashion & Textile | Bangalore / Bengaluru +291 other locations,13.1k,77,391
157,L&T Finance,3.9,(4.5k),NBFC | Mumbai +634 other locations,11.8k,--,261
158,Dell,3.8,(4.5k),Consumer Electronics & Appliances | Bangalore / Bengaluru +117 other locations,28.7k,24,540
159,Havells,3.9,(4.5k),Electrical Equipment | Noida +261 other locations,15k,33,315
160,CARS24,3.4,(4.5k),Internet | Gurgaon / Gurugram +172 other locations,15.5k,111,410
161,OPPO,3.9,(4.4k),Consumer Electronics & Appliances | Greater Noida +410 other locations,11.8k,6,602
162,Intas Pharmaceuticals,4.1,(4.4k),Pharma | Ahmedabad +148 other locations,17.2k,58,362
163,R1 RCM,3.8,(4.4k),BPO | New Delhi +46 other locations,21.4k,178,334
164,Tata AIA Life Insurance,3.9,(4.4k),Insurance | Mumbai +441 other locations,14.1k,653,297
165,Hyundai Motor India Limited,4.1,(4.4k),Automobile | Chennai +287 other locations,13.9k,4,518
166,Deutsche Bank,3.8,(4.3k),Banking | Pune +42 other locations,36.1k,424,399
167,Hetero,3.9,(4.3k),Pharma | Hyderabad / Secunderabad +68 other locations,15.1k,142,332
168,Motilal Oswal Financial Services,3.7,(4.3k),Financial Services | Mumbai +168 other locations,13k,41,167
169,Berger Paints,3.7,(4.3k),Chemicals | Kolkata +354 other locations,9.9k,128,273
170,Team Lease,3.9,(4.3k),Recruitment | Bangalore / Bengaluru +400 other locations,16.1k,2,215
171,VE Commercial Vehicles,3.9,(4.2k),Automobile | Indore +179 other locations,14.2k,5,340
172,Lenskart,3.3,(4.2k),Internet | New Delhi +239 other locations,12.9k,121,199
173,Thermax Limited,4.2,(4.2k),Industrial Machinery | Pune +252 other locations,13.1k,87,371
174,Bajaj Auto,3.8,(4.1k),Automobile | Pune +319 other locations,14.6k,--,496
175,Macleods Pharmaceuticals,3.7,(4.1k),Pharma | Mumbai +134 other locations,15.6k,6,334
176,Kogta Financial India Limited,4.7,(4.1k),NBFC | Jaipur +259 other locations,1.8k,113,31
177,Aakash Educational Services,3.2,(4.1k),Education & Training | New Delhi +244 other locations,13.8k,64,212
178,Jubilant Foods Works,3.7,(4.1k),Hospitality | New Delhi +263 other locations,9.3k,199,180
179,LG Electronics,3.9,(4.1k),Consumer Electronics & Appliances | Pune +298 other locations,11k,--,399
